x	 u	 u_exact
0.000000	-0.000628	-0.000628
0.010101	0.062986	0.062797
0.020202	0.126345	0.125969
0.030303	0.189180	0.188634
0.040404	0.251219	0.250540
0.050505	0.312182	0.311436
0.060606	0.371810	0.371079
0.070707	0.429866	0.429228
0.080808	0.486162	0.485648
0.090909	0.540534	0.540112
0.101010	0.592807	0.592402
0.111111	0.642769	0.642306
0.121212	0.690142	0.689624
0.131313	0.734681	0.734165
0.141414	0.776163	0.775750
0.151515	0.814523	0.814211
0.161616	0.849651	0.849394
0.171717	0.881458	0.881156
0.181818	0.909691	0.909371
0.191919	0.934188	0.933923
0.202020	0.954869	0.954715
0.212121	0.971752	0.971663
0.222222	0.984821	0.984698
0.232323	0.993883	0.993769
0.242424	0.998887	0.998837
0.252525	0.999822	0.999884
0.262626	0.996834	0.996904
0.282828	0.978817	0.978931
0.292929	0.963818	0.964009
0.303030	0.944969	0.945206
0.313131	0.922392	0.922597
0.323232	0.896015	0.896273
0.333333	0.865980	0.866339
0.343434	0.832575	0.832918
0.353535	0.795787	0.796142
0.363636	0.755747	0.756161
0.373737	0.712673	0.713135
0.383838	0.666770	0.667237
0.393939	0.618193	0.618653
0.404040	0.567034	0.567577
0.414141	0.513660	0.514216
0.424242	0.458272	0.458785
0.434343	0.400909	0.401506
0.444444	0.341998	0.342611
0.454545	0.281776	0.282335
0.464646	0.220292	0.220923
0.474747	0.157981	0.158622
0.484848	0.095095	0.095681
0.494949	0.031710	0.032356
0.505051	-0.031746	-0.031100
0.515152	-0.095017	-0.094431
0.525253	-0.158022	-0.157381
0.535354	-0.220329	-0.219698
0.545455	-0.281689	-0.281130
0.555556	-0.342043	-0.341430
0.565657	-0.400952	-0.400355
0.575758	-0.458181	-0.457668
0.585859	-0.513695	-0.513138
0.595960	-0.567085	-0.566542
0.606061	-0.618125	-0.617665
0.616162	-0.666768	-0.666301
0.626263	-0.712715	-0.712253
0.636364	-0.755752	-0.755338
0.646465	-0.795737	-0.795381
0.656566	-0.832565	-0.832222
0.666667	-0.866070	-0.865711
0.676768	-0.895973	-0.895715
0.686869	-0.922316	-0.922111
0.696970	-0.945033	-0.944795
0.707071	-0.963866	-0.963675
0.717172	-0.978787	-0.978674
0.727273	-0.989778	-0.989732
0.737374	-0.996875	-0.996805
0.747475	-0.999926	-0.999864
0.757576	-0.998847	-0.998897
0.767677	-0.993794	-0.993908
0.777778	-0.984794	-0.984917
0.787879	-0.971871	-0.971960
0.797980	-0.954935	-0.955089
0.808081	-0.934107	-0.934372
0.818182	-0.909573	-0.909893
0.828283	-0.881448	-0.881750
0.838384	-0.849800	-0.850057
0.848485	-0.814629	-0.814940
0.858586	-0.776130	-0.776542
0.868687	-0.734503	-0.735018
0.878788	-0.690016	-0.690534
0.888889	-0.642806	-0.643269
0.898990	-0.593009	-0.593414
0.909091	-0.540747	-0.541169
0.919192	-0.486231	-0.486746
0.929293	-0.429724	-0.430362
0.939394	-0.371515	-0.372246
0.949495	-0.311885	-0.312630
0.959596	-0.251077	-0.251756
0.969697	-0.189323	-0.189868
0.979798	-0.126840	-0.127216
0.989899	-0.063862	-0.064051
1.000000	-0.000628	-0.000628
0.000000	0.000000	-0.000628
